root@comp3134:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:46:09.354766 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2504971002:2504971110, ack 561089138, win 501, options [nop,nop,TS val 1836012282 ecr 1565995545], length 108
20:46:09.654509 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 7000:7204, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 204
20:46:09.654560 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 7204:7240, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 36
20:46:09.654630 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 7240:7444, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 204
20:46:09.654681 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 7444:7480, ack 1, win 501, options [nop,nop,TS val 1836012581 ecr 1565995779], length 36
20:46:09.654749 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 7480:7684, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 204
20:46:09.654801 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 7684:7720, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 36
20:46:09.654872 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 7720:7924, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 204
20:46:09.654922 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 7924:7960, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 36
20:46:09.654994 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 7960:8164, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 204
20:46:09.655045 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 8164:8200, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 36
20:46:09.655113 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 8200:8404, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 204
20:46:09.655217 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 8404:8644, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 240
20:46:09.655264 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 8644:8680, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 36
20:46:09.655331 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 8680:8884, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 204
20:46:09.655389 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 8884:8920, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 36
20:46:09.655477 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 8920:9124, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 204
20:46:09.655528 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 9124:9160, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 36
20:46:09.655601 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 9160:9348, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 188
20:46:09.655652 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 9348:9384, ack 1, win 501, options [nop,nop,TS val 1836012582 ecr 1565995779], length 36
20:46:09.655721 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 9384:9588, ack 1, win 501, options [nop,nop,TS val 1836012583 ecr 1565995779], length 204
20:46:09.655796 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 9588:9624, ack 1, win 501, options [nop,nop,TS val 1836012583 ecr 1565995779], length 36
20:46:09.669955 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 7684, win 5593, options [nop,nop,TS val 1565995863 ecr 1836012582], length 0
20:46:09.669955 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 7684, win 5645, options [nop,nop,TS val 1565995863 ecr 1836012582], length 0
20:46:09.670051 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 9624:9848, ack 1, win 501, options [nop,nop,TS val 1836012597 ecr 1565995863], length 224
20:46:09.675742 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 8680, win 5629, options [nop,nop,TS val 1565995863 ecr 1836012582], length 0
20:46:09.675742 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 9624, win 5630, options [nop,nop,TS val 1565995866 ecr 1836012583], length 0
20:46:09.685455 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 9848, win 5641, options [nop,nop,TS val 1565995876 ecr 1836012597], length 0
20:46:09.756963 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 9848:10052, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 204
20:46:09.757066 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 10052:10088, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 36
20:46:09.757077 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 10088:10292, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 204
20:46:09.757108 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 10292:10328, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 36
20:46:09.757168 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 10328:10532, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 204
20:46:09.757232 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 10532:10568, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 36
20:46:09.757279 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 10568:10772, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 204
20:46:09.757313 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 10772:10808, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 36
20:46:09.757363 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 10808:11012, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 204
20:46:09.757422 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 11012:11048, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 36
20:46:09.757479 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 11048:11252, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 204
20:46:09.757516 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 11252:11288, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 36
20:46:09.757561 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 11288:11492, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 204
20:46:09.757596 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 11492:11528, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 36
20:46:09.757648 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 11528:11732, ack 1, win 501, options [nop,nop,TS val 1836012684 ecr 1565995876], length 204
20:46:09.757716 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 11732:11972, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 240
20:46:09.757757 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 11972:12008, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 36
20:46:09.757816 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 12008:12212, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 204
20:46:09.757855 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 12212:12248, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 36
20:46:09.757907 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 12248:12452, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 204
20:46:09.757942 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 12452:12488, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 36
20:46:09.757981 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 12488:12692, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 204
20:46:09.758015 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 12692:12728, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 36
20:46:09.758069 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 12728:12932, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 204
20:46:09.758147 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 12932:12968, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 36
20:46:09.758206 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 12968:13172, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 204
20:46:09.758248 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 13172:13208, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 36
20:46:09.758307 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 13208:13412, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 204
20:46:09.758349 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 13412:13448, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 36
20:46:09.758401 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 13448:13652, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 204
20:46:09.758434 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 13652:13688, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 36
20:46:09.758487 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 13688:13892, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 204
20:46:09.758523 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 13892:13928, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 36
20:46:09.758561 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 13928:14132, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 204
20:46:09.758617 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 14132:14372, ack 1, win 501, options [nop,nop,TS val 1836012685 ecr 1565995876], length 240
20:46:09.758750 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 14372:15092, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 720
20:46:09.758875 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 15092:15608, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 516
20:46:09.758906 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 15608:15812, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.758936 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 15812:15848, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.758954 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 15848:16052, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.758987 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 16052:16088, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.759022 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 16088:16292, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.759069 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 16292:16328, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.759085 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 16328:16532, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.759126 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 16532:16568, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.759153 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 16568:16772, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.759185 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 16772:16808, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.759225 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 16808:17012, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.759264 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 17012:17048, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.759297 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 17048:17252, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.759336 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 17252:17288, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.759376 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 17288:17492, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.759414 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 17492:17528, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.759464 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 17528:17732, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.759521 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 17732:17768, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.759565 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 17768:17972, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.759607 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 17972:18008, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 36
20:46:09.759656 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 18008:18212, ack 1, win 501, options [nop,nop,TS val 1836012686 ecr 1565995876], length 204
20:46:09.759701 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 18212:18248, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 36
20:46:09.759741 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 18248:18452, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 204
20:46:09.759777 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 18452:18488, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 36
20:46:09.759911 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 18488:18692, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 204
20:46:09.759965 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 18692:18728, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 36
20:46:09.760009 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 18728:18932, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 204
20:46:09.760061 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 18932:18968, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 36
20:46:09.760125 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 18968:19172, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 204
20:46:09.760167 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 19172:19208, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 36
